Starting Nmap 7.95 ( https://nmap.org ) at 2025-02-26 10:23 EST
Initiating Parallel DNS resolution of 80 hosts. at 10:24
Completed Parallel DNS resolution of 80 hosts. at 10:24, 1.20s elapsed
Initiating SYN Stealth Scan at 10:24
Discovered open port 53/tcp on 167.86.43.42
Discovered open port 8080/tcp on 100.20.128.48
Increasing send delay for 167.86.43.42 from 0 to 5 due to max_successful_tryno increase to 4
Increasing send delay for 167.86.43.42 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 8080/tcp on 3.229.73.76
Discovered open port 8080/tcp on 142.251.41.51
Discovered open port 8080/tcp on 66.22.56.35
Discovered open port 443/tcp on 104.16.242.118
Increasing send delay for 66.22.85.187 from 0 to 5 due to 11 out of 20 dropped probes since last increase.
Discovered open port 443/tcp on 167.86.43.68
Increasing send delay for 66.6.17.188 from 5 to 10 due to max_successful_tryno increase to 5
Discovered open port 443/tcp on 35.201.74.249
Discovered open port 443/tcp on 35.167.212.29
Discovered open port 8080/tcp on 34.116.0.40
SYN Stealth Scan Timing: About 2.13% done; ETC: 11:11 (0:46:38 remaining)
Increasing send delay for 167.86.43.69 from 0 to 5 due to 11 out of 24 dropped probes since last increase.
Discovered open port 443/tcp on 35.241.51.22
Discovered open port 8080/tcp on 100.20.32.41
Discovered open port 8080/tcp on 107.162.232.80
Increasing send delay for 167.86.43.68 from 5 to 10 due to max_successful_tryno increase to 4
Discovered open port 443/tcp on 34.116.0.32
Increasing send delay for 66.22.56.145 from 10 to 20 due to max_successful_tryno increase to 6
Discovered open port 443/tcp on 151.101.127.10
Discovered open port 443/tcp on 167.86.43.43
Increasing send delay for 167.86.43.43 from 5 to 10 due to 11 out of 19 dropped probes since last increase.
Discovered open port 443/tcp on 167.86.43.39
Discovered open port 443/tcp on 66.6.29.162
Discovered open port 8080/tcp on 166.73.5.37
Discovered open port 443/tcp on 166.73.4.193
Discovered open port 443/tcp on 107.162.232.60
Discovered open port 443/tcp on 66.22.80.117
Discovered open port 443/tcp on 167.86.43.71
Discovered open port 8080/tcp on 34.117.18.56
Discovered open port 443/tcp on 107.162.183.213
Discovered open port 443/tcp on 166.73.5.57
Increasing send delay for 66.22.80.117 from 10 to 20 due to 11 out of 20 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 0 to 5 due to 11 out of 18 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 5 to 10 due to max_successful_tryno increase to 4
Increasing send delay for 66.22.56.35 from 10 to 20 due to max_successful_tryno increase to 5
Discovered open port 443/tcp on 167.86.43.40
Discovered open port 443/tcp on 167.86.43.42
Discovered open port 443/tcp on 34.235.193.186
Discovered open port 443/tcp on 35.162.157.209
Discovered open port 443/tcp on 34.195.212.27
Discovered open port 443/tcp on 34.98.98.115
Discovered open port 443/tcp on 34.208.110.218
Discovered open port 443/tcp on 166.73.5.53
Discovered open port 443/tcp on 66.22.85.187
Discovered open port 443/tcp on 166.73.4.196
Increasing send delay for 167.86.43.71 from 5 to 10 due to max_successful_tryno increase to 4
Increasing send delay for 167.86.43.71 from 10 to 20 due to max_successful_tryno increase to 5
Discovered open port 443/tcp on 66.22.30.155
Discovered open port 443/tcp on 166.73.4.195
Discovered open port 443/tcp on 54.201.176.250
Discovered open port 443/tcp on 167.86.43.69
Discovered open port 443/tcp on 166.73.4.194
Discovered open port 443/tcp on 34.117.211.53
Increasing send delay for 167.86.43.71 from 20 to 40 due to max_successful_tryno increase to 6
Discovered open port 443/tcp on 66.6.17.188
Increasing send delay for 167.86.43.39 from 10 to 20 due to 11 out of 23 dropped probes since last increase.
Discovered open port 443/tcp on 107.162.180.200
Discovered open port 443/tcp on 23.222.17.238
Increasing send delay for 167.86.43.71 from 40 to 80 due to max_successful_tryno increase to 7
Discovered open port 443/tcp on 107.162.183.211
Discovered open port 443/tcp on 34.98.98.114
Discovered open port 443/tcp on 107.162.232.63
Increasing send delay for 66.22.80.121 from 20 to 40 due to 11 out of 19 dropped probes since last increase.
Discovered open port 443/tcp on 66.22.56.145
Increasing send delay for 66.22.30.155 from 10 to 20 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.22.85.187 from 5 to 10 due to max_successful_tryno increase to 4
Increasing send delay for 66.22.85.187 from 10 to 20 due to max_successful_tryno increase to 5
Discovered open port 443/tcp on 166.73.5.41
Discovered open port 443/tcp on 34.36.255.254
Increasing send delay for 66.6.29.162 from 20 to 40 due to 11 out of 18 dropped probes since last increase.
Discovered open port 443/tcp on 199.60.103.31
Increasing send delay for 167.86.43.40 from 5 to 10 due to max_successful_tryno increase to 4
Increasing send delay for 167.86.43.42 from 10 to 20 due to 11 out of 19 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 10 to 20 due to max_successful_tryno increase to 5
Discovered open port 443/tcp on 166.73.4.197
Discovered open port 443/tcp on 107.162.232.29
Discovered open port 443/tcp on 23.185.0.4
Discovered open port 443/tcp on 66.22.56.35
Discovered open port 443/tcp on 13.56.104.203
Discovered open port 443/tcp on 107.162.232.26
Discovered open port 443/tcp on 54.158.149.68
Discovered open port 443/tcp on 52.20.49.116
Discovered open port 443/tcp on 100.20.128.48
Increasing send delay for 66.22.56.35 from 20 to 40 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 10 to 20 due to max_successful_tryno increase to 5
Increasing send delay for 167.86.43.68 from 10 to 20 due to max_successful_tryno increase to 5
Increasing send delay for 167.86.43.68 from 20 to 40 due to max_successful_tryno increase to 6
Discovered open port 443/tcp on 142.251.41.51
Increasing send delay for 167.86.43.68 from 40 to 80 due to max_successful_tryno increase to 7
Increasing send delay for 66.6.17.188 from 10 to 20 due to 11 out of 15 dropped probes since last increase.
Discovered open port 443/tcp on 3.233.108.250
Discovered open port 443/tcp on 100.20.32.41
Discovered open port 443/tcp on 34.117.18.56
Discovered open port 443/tcp on 151.101.131.10
Discovered open port 443/tcp on 104.17.73.206
Increasing send delay for 66.22.56.145 from 20 to 40 due to 11 out of 17 dropped probes since last increase.
Increasing send delay for 66.22.80.117 from 20 to 40 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.80.121 from 40 to 80 due to max_successful_tryno increase to 6
Increasing send delay for 167.86.43.71 from 80 to 160 due to 11 out of 17 dropped probes since last increase.
Increasing send delay for 66.22.30.155 from 20 to 40 due to max_successful_tryno increase to 6
Increasing send delay for 167.86.43.69 from 5 to 10 due to 11 out of 18 dropped probes since last increase.
Discovered open port 443/tcp on 34.116.0.40
Discovered open port 443/tcp on 3.229.73.76
Increasing send delay for 66.22.85.187 from 20 to 40 due to max_successful_tryno increase to 6
Increasing send delay for 66.6.29.162 from 40 to 80 due to 11 out of 16 dropped probes since last increase.
Discovered open port 443/tcp on 166.73.5.37
Increasing send delay for 167.86.43.42 from 20 to 40 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.6.17.188 from 20 to 40 due to 11 out of 17 dropped probes since last increase.
Discovered open port 443/tcp on 44.239.130.219
Increasing send delay for 66.22.30.155 from 40 to 80 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.39 from 20 to 40 due to max_successful_tryno increase to 6
Increasing send delay for 167.86.43.39 from 40 to 80 due to max_successful_tryno increase to 7
Increasing send delay for 66.22.80.121 from 80 to 160 due to max_successful_tryno increase to 7
Increasing send delay for 66.22.30.155 from 80 to 160 due to max_successful_tryno increase to 7
Increasing send delay for 66.6.29.162 from 80 to 160 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 20 to 40 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.69 from 10 to 20 due to max_successful_tryno increase to 4
Increasing send delay for 66.22.56.145 from 40 to 80 due to 11 out of 16 dropped probes since last increase.
Discovered open port 443/tcp on 107.162.232.80
Increasing send delay for 167.86.43.69 from 20 to 40 due to max_successful_tryno increase to 5
Increasing send delay for 167.86.43.69 from 40 to 80 due to max_successful_tryno increase to 6
Increasing send delay for 66.22.80.117 from 40 to 80 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.69 from 80 to 160 due to max_successful_tryno increase to 7
Increasing send delay for 167.86.43.71 from 160 to 320 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.71 from 320 to 640 due to max_successful_tryno increase to 8
Increasing send delay for 66.6.17.188 from 40 to 80 due to max_successful_tryno increase to 6
SYN Stealth Scan Timing: About 5.21% done; ETC: 11:10 (0:44:00 remaining)
Increasing send delay for 167.86.43.68 from 80 to 160 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 20 to 40 due to 11 out of 18 dropped probes since last increase.
Increasing send delay for 66.22.80.121 from 160 to 320 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 66.22.56.145 from 80 to 160 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 40 to 80 due to 11 out of 19 dropped probes since last increase.
Increasing send delay for 167.86.43.39 from 80 to 160 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.22.30.155 from 160 to 320 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 167.86.43.69 from 160 to 320 due to 11 out of 13 dropped probes since last increase.
Increasing send delay for 167.86.43.42 from 40 to 80 due to 11 out of 17 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 40 to 80 due to 11 out of 11 dropped probes since last increase.
Increasing send delay for 66.22.85.187 from 40 to 80 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.6.29.162 from 160 to 320 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 40 to 80 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 167.86.43.68 from 160 to 320 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 66.22.56.145 from 160 to 320 due to max_successful_tryno increase to 7
Increasing send delay for 66.6.17.188 from 80 to 160 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.22.56.145 from 320 to 640 due to max_successful_tryno increase to 8
Increasing send delay for 66.22.85.187 from 80 to 160 due to max_successful_tryno increase to 7
Increasing send delay for 66.22.85.187 from 160 to 320 due to max_successful_tryno increase to 8
Increasing send delay for 66.22.80.117 from 80 to 160 due to 11 out of 17 dropped probes since last increase.
SYN Stealth Scan Timing: About 6.62% done; ETC: 11:08 (0:41:08 remaining)
Increasing send delay for 167.86.43.69 from 320 to 640 due to max_successful_tryno increase to 8
Increasing send delay for 66.22.30.155 from 320 to 640 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 80 to 160 due to 11 out of 13 dropped probes since last increase.
Increasing send delay for 167.86.43.42 from 80 to 160 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 80 to 160 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.6.17.188 from 160 to 320 due to 11 out of 13 dropped probes since last increase.
Increasing send delay for 167.86.43.71 from 640 to 1000 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.80.121 from 320 to 640 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.6.29.162 from 320 to 640 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 167.86.43.39 from 160 to 320 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.80.117 from 160 to 320 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 80 to 160 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 167.86.43.68 from 320 to 640 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 167.86.43.42 from 160 to 320 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 66.22.85.187 from 320 to 640 due to 11 out of 15 dropped probes since last increase.
SYN Stealth Scan Timing: About 8.35% done; ETC: 11:05 (0:37:30 remaining)
Increasing send delay for 66.22.56.145 from 640 to 1000 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 160 to 320 due to max_successful_tryno increase to 6
Increasing send delay for 167.86.43.43 from 160 to 320 due to 11 out of 13 dropped probes since last increase.
Increasing send delay for 167.86.43.40 from 320 to 640 due to max_successful_tryno increase to 7
Increasing send delay for 167.86.43.40 from 640 to 1000 due to max_successful_tryno increase to 8
Increasing send delay for 66.22.56.35 from 160 to 320 due to 11 out of 13 dropped probes since last increase.
Increasing send delay for 66.6.17.188 from 320 to 640 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.69 from 640 to 1000 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.6.29.162 from 640 to 1000 due to max_successful_tryno increase to 7
Increasing send delay for 66.22.30.155 from 640 to 1000 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.80.121 from 640 to 1000 due to max_successful_tryno increase to 8
Increasing send delay for 167.86.43.39 from 320 to 640 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 320 to 640 due to max_successful_tryno increase to 6
Increasing send delay for 66.22.80.117 from 320 to 640 due to 11 out of 15 dropped probes since last increase.
Increasing send delay for 66.22.56.35 from 640 to 1000 due to max_successful_tryno increase to 7
Increasing send delay for 167.86.43.68 from 640 to 1000 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 320 to 640 due to 11 out of 13 dropped probes since last increase.
SYN Stealth Scan Timing: About 10.46% done; ETC: 11:01 (0:33:32 remaining)
Increasing send delay for 167.86.43.42 from 320 to 640 due to 11 out of 16 dropped probes since last increase.
Increasing send delay for 66.22.85.187 from 640 to 1000 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.42 from 640 to 1000 due to max_successful_tryno increase to 6
Increasing send delay for 66.6.17.188 from 640 to 1000 due to 11 out of 12 dropped probes since last increase.
Increasing send delay for 167.86.43.39 from 640 to 1000 due to 11 out of 14 dropped probes since last increase.
Increasing send delay for 167.86.43.43 from 640 to 1000 due to 11 out of 13 dropped probes since last increase.
SYN Stealth Scan Timing: About 12.87% done; ETC: 10:58 (0:29:55 remaining)
Increasing send delay for 66.22.80.117 from 640 to 1000 due to 11 out of 14 dropped probes since last increase.
SYN Stealth Scan Timing: About 15.61% done; ETC: 10:55 (0:26:34 remaining)
SYN Stealth Scan Timing: About 19.36% done; ETC: 10:52 (0:22:34 remaining)
SYN Stealth Scan Timing: About 23.42% done; ETC: 10:49 (0:19:21 remaining)
Warning: 66.6.29.162 giving up on port because retransmission cap hit (10).
SYN Stealth Scan Timing: About 27.16% done; ETC: 10:47 (0:17:12 remaining)
Discovered open port 5060/tcp on 34.235.193.186
Discovered open port 5060/tcp on 166.73.4.193
SYN Stealth Scan Timing: About 31.28% done; ETC: 10:46 (0:15:12 remaining)
Discovered open port 5060/tcp on 3.229.73.76
Discovered open port 5060/tcp on 100.20.128.48
SYN Stealth Scan Timing: About 34.87% done; ETC: 10:45 (0:13:51 remaining)
Discovered open port 912/tcp on 166.73.4.193
SYN Stealth Scan Timing: About 38.80% done; ETC: 10:44 (0:12:39 remaining)
Discovered open port 5060/tcp on 104.16.242.118
SYN Stealth Scan Timing: About 43.09% done; ETC: 10:43 (0:11:15 remaining)
Discovered open port 5060/tcp on 166.73.5.37
Completed SYN Stealth Scan against 34.235.193.186 in 513.42s (63 hosts left)
Discovered open port 5060/tcp on 54.158.149.68
Discovered open port 5060/tcp on 100.20.32.41
Discovered open port 5060/tcp on 166.73.5.41
Discovered open port 5060/tcp on 166.73.4.196
Completed SYN Stealth Scan against 166.73.4.193 in 534.12s (62 hosts left)
Warning: 66.22.80.117 giving up on port because retransmission cap hit (10).
SYN Stealth Scan Timing: About 47.73% done; ETC: 10:42 (0:09:52 remaining)
Discovered open port 5060/tcp on 34.98.98.115
Discovered open port 5060/tcp on 166.73.4.194
Discovered open port 5060/tcp on 34.116.0.40
Discovered open port 5060/tcp on 34.117.211.53
Warning: 66.6.17.188 giving up on port because retransmission cap hit (10).
Discovered open port 5060/tcp on 166.73.4.197
SYN Stealth Scan Timing: About 52.18% done; ETC: 10:42 (0:08:43 remaining)
Completed SYN Stealth Scan against 3.229.73.76 in 570.36s (61 hosts left)
Discovered open port 5060/tcp on 107.162.183.213
Discovered open port 5060/tcp on 104.17.73.206
Warning: 167.86.43.42 giving up on port because retransmission cap hit (10).
Discovered open port 5060/tcp on 13.56.104.203
Discovered open port 5060/tcp on 35.201.74.249
Warning: 167.86.43.71 giving up on port because retransmission cap hit (10).
Completed SYN Stealth Scan against 100.20.128.48 in 575.96s (60 hosts left)
Discovered open port 5060/tcp on 151.101.3.10
Discovered open port 5060/tcp on 107.162.183.211
Discovered open port 5060/tcp on 142.251.41.51
Discovered open port 5060/tcp on 35.241.51.22
Discovered open port 5060/tcp on 23.185.0.4
Discovered open port 5060/tcp on 107.162.232.60
Discovered open port 5060/tcp on 107.162.180.200
Discovered open port 5060/tcp on 34.208.110.218
Discovered open port 5060/tcp on 107.162.232.80
Discovered open port 5060/tcp on 35.162.157.209
Discovered open port 5060/tcp on 166.73.4.195
Discovered open port 5060/tcp on 52.20.49.116
Discovered open port 5060/tcp on 107.162.232.63
Discovered open port 5060/tcp on 107.162.232.26
Discovered open port 5060/tcp on 151.101.131.10
Discovered open port 5060/tcp on 3.233.108.250
Discovered open port 5060/tcp on 151.101.127.10
Discovered open port 5060/tcp on 35.167.212.29
SYN Stealth Scan Timing: About 58.09% done; ETC: 10:41 (0:07:14 remaining)
Discovered open port 5060/tcp on 34.36.255.254
Discovered open port 5060/tcp on 199.60.103.31
Discovered open port 5060/tcp on 107.162.232.29
Discovered open port 5060/tcp on 54.201.176.250
Discovered open port 5060/tcp on 23.222.17.238
Discovered open port 5060/tcp on 34.195.212.27
Discovered open port 5060/tcp on 34.116.0.32
